,index,name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
24,35,Horned Frog,['South-America'],Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Ceratophrys,Ceratophrys Ornata,,,,,,,,,rainforest and tropical swamplands,Carnivore,"1,500",Solitary,,,,Natively found in South America!,,BrownYellowWhite,Hair,5 mph,5-8 years,320-480g (11.2-17oz),,,,,"Birds, Snakes, Bears",Amphibian,,,,,,,"Worms, Roaches, Insects",,,,Worms,,1,0,0,0.4,Unknown
25,16,Leopard Frog,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,,Tadpoles,Largely solitary,Millions,"Habitat loss, pollution",Leopard-like spots,"Meadow frog, grass frog",70-110 days,"forest, grassland, wetland",Carnivore,,,Leopard Frog,,from southern canada through northern south america,,,BrownBlackGreen,Permeable,,Five to eight years,One half to three ounces,Two to five inches,,,,"Various, including raccoons, foxes, snakes, birds, frogs, humans",Amphibian,,,,,,,"Insects, Mollusks, birds, Worms, snakes, frogs",Fresh,,Up to 6500,,,1,0,0,0.07088,8.89
26,17,Mantella Frog,['Africa'],Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,,"Termites, ants, fruit flies, other insects",tadpoles and froglets,Colony,"unknown, varies by species",climate change and pollution,Size and color,"Jewels of Madagascar, Malagasy poison frogs",2 days,island of madagascar,Carnivore,,,Mantella frogs,16.0,madagascar,,,YellowBlueBlackGreenOrange,Permeable,,5 years to 10 years,Up to 2oz,0.71in –1.22in (18mm-31mm),12 to 15 months,,dozens,"Small mammals, snakes, birds",Amphibian,,,,,,,,,,,,,1,0,0,0.07088,2.45
27,18,Marine Toad,"['Central-America', 'Oceania', 'South-America']",Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo Marinus,,,,,,,,,forests and fields close to water,Carnivore,,Solitary,,,,Produces a toxin used in arrow darts!,,BrownGreyBlackTanGreen,Permeable,5 mph,10 - 15 years,200g - 800g (7oz - 28oz),10cm - 15cm (4in - 6in),,,,"Dogs, Snakes, Birds",Amphibian,,Large body size and rough skin,,15000.0,,,Insects and Small Animals,,,,Insects,,1,0,0,0.5,31.75
28,19,Marsh Frog,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax ridibundus,,,,,,,,,"ponds, lakes and rivers",Carnivore,,Solitary,,,,Has bright green skin!,,BrownYellowBlackWhiteGreen,Permeable,5 mph,5 - 10 years,12g - 15g (0.4oz - 0.5oz),12cm - 17cm (4.7in - 7in),,,,"Fish, Toads, Birds",Amphibian,,Large head and long hind legs,,1000.0,,,"Insects, Moths, Spiders",,,,Insects,,1,0,0,0.0135,36.83
29,20,Monte Iberia Eleuth,['Central-America'],Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus,Eleutherodactylus iberia,,,,,,,,,water around mount iberia,Carnivore,,Solitary,,,,The smallest frog in the Northern Hemisphere!,,BrownYellowBlackWhite,Permeable,5 mph,1 - 3 years,1.5g - 2g (0.05oz - 0.07oz),9.6mm - 9.8mm (0.37in - 0.38in),,,,"Fish, Toads, Birds",Amphibian,,Tiny body size with bright yellow stripes,,1.0,,,"Insects, Moths, Spiders",,,,Insects,,1,0,0,0.00175,24.64
30,36,Mudpuppy,['North-America'],Animalia,Chordata,Amphibia,Urodela,Proteidae,Necturus,Necturus maculosus,"Worms, crayfish, insect larvae, fish and fish eggs, snails, smaller amphibians, carrion","Larvae, hatchling",Solitary/Group,"Unknown, but its conservation status is least concern",Pollution of habitat,Its gills,Waterdog,One to two months,,Omnivore,,,Mudpuppy,,"north america from manitoba east to quebec, south to missouri and georgia",,Solitary,BrownGreyRed,Skin,,11 to 20 years,4.23 and 7 ounces,8 to 13 inches,Four to six years for both sexes,,"60, on average",,Amphibian,,,,,,,,,,,,,1,0,0,0.15933,26.67
31,21,Natterjack,"['Eurasia', 'Europe']",Animalia,Chordata,Amphibia,Anura,Bufonidae,Epidalea,Epidalea calamita,"Worms, spiders, woodlice",Tadpole,Solitary,Unknown,Habitat loss,Yellow stripe on its back,Running toad,8 to 15 days,sandy pieces of land,Carnivore,,,Natterjack toad,1.0,europe,,Solitary,BrownYellowGreenCream,Permeable,,10-15 years,0.14 - 0.67 ounces,2-3 inches,2 years,3-4 weeks,7500+,"Hedgehogs, foxes, herons",Amphibian,1 inch,,,,,,,,,,,,1,0,0,0.0116199999999999,6.35
32,41,Newt,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Amphibia,Caudata,Salamandridae,,,,,,,,,,,temperate forests and river banks,Omnivore,100,Solitary,,,,Able to regrow lost or damaged limbs!,,BrownGreyYellowRedBlackGreenOrange,Scales,30 mph,2-15 years,10-50g (0.3-1.8oz),,,,,,Amphibian,,,,,,,"Worms, Insects, Water snails",,,,Worms,,1,0,0,0.03,Unknown
33,22,Oak Toad,['North-America'],Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus quercicus,"Ants, mites and other smaller insects",Tadpole,Solitary,,Snakes,Tiny size,,4 to 6 weeks,"pine forests, sandy flatwoods, and oak scrub",Carnivore,,,,,north america,,,GreyBlack,,,1.9 in capacity,,1.3 inches,,,300 to 500,"Snakes, birds of prey",,,,,,,,,,,,,,1,0,0,,3.3
34,45,Olm,['Europe'],Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus,Proteus anguinus,,"Larva, tadpole",Flocks,Several hundred,"Pollution, human activity, habitat fragmentation",Its lifespan,"Proteus, cave salamander, white salamander, human fish, močeril, white olm back olm, blind cave salamander",,fresh water limestone caves,Carnivore,,Solitary,Olm,1.0,"dinaric alps in croatia, bosnia and herzegovina, italy and slovenia with introduced populations in france and germany.",Inhabits dark underwater caves,,BlackWhitePink,Permeable,5 mph,100 years,0.53 to 0.7 ounces,"8 to 12 inches, females larger",14 years,,35 to 70 larvae,"Fish, Toads, Birds",Amphibian,,Elongated body and undeveloped limbs,Two to six months,10.0,,,"Insects, insect larvae, worms, small fish, mollusks",,,,Insects,,1,0,0,0.01758,25.4
35,23,Poison Dart Frog,"['Central-America', 'South-America']",Animalia,Chordata,Amphibia,Anura,Dendrobatidae,,,,,,,,,,,tropical jungle and wet forests,Carnivore,10,Solitary,,,,Inhabits the jungles of Central and South America!,,YellowRedBlueGreenOrange,Permeable,10 mph,2-4 years,2-7g (0.07-0.25oz),,,,,Snake,Amphibian,,,,,,,"Insects, Ants, Spiders",,,,Insects,,1,0,0,0.0045,Unknown
36,44,Pool Frog,['Europe'],Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae,,,,,,,,,woodland ponds,Carnivore,,Solitary,,,,The rarest amphibian in the UK!,,BrownYellowBlackGreen,Permeable,5 mph,1 - 6 years,20g - 80g (0.7oz - 2.8oz),5cm - 9cm (1.9in - 3.5in),,,,"Foxes, Cats, Birds",Amphibian,,Spotted patterned skin and pointed snout,,1500.0,,,"Insects, Moths, Spiders",,,,Insects,,1,0,0,0.05,17.78
37,37,Red-Eyed Tree Frog,"['Central-America', 'South-America']",Animalia,Chordata,Amphibia,Hylidae or Anura,Phyllomedusidae,Agalychnis,Agalychnis callidryas,"Insects, bacteria, plankton, smaller frogs",tadpole,Solitary,"Population unknown, but stable. Conservation status is least concern.","Pollution, habitat loss, climate change",Its huge red eyes,Rana-de árbol ojos rojos,6-10 days,around ponds and rivers in tropical rainforests,Carnivore,,,Red-eyed tree frog,1.0,"mexico, central america, colombia",,"Army, Knot",YellowRedBlueGreenOrange,Skin,,Up to five years,0.2 to 0.5 ounces,2-3 inches,two years,,40,"Bats, snakes, humans prey on adults, predatory insects and fish prey on tadpoles",Amphibian,,,,,,,,,,,,,1,0,0,0.00992,6.35
38,24,Salamander,"['Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'South-America']",Animalia,Chordata,Amphibia,Caudata,Salamandroidea,,Caudata,,,,,,,,,"rainforest, streams and wetlands",Carnivore,300,Solitary,,,,There are more than 700 different species!,,BrownYellowRedBlackWhiteGreen,Permeable Scales,30 mph,5-20 years,0.1-65kg (0.2-143lbs),,,,,"Fish, Snakes, Birds",Amphibian,,,,,,,"Fish, Mice, Insects",,,,Fish,,1,0,0,1.35,Unknown
39,33,Scrotum Frog,['South-America'],Animalia,Chordata,Amphibia,Anura,Telmatobiidae,Telmatobius,Telmatobius culeus,"Snails, fish, tadpoles, amphipods, aquatic insects","Larva, tadpole",Solitary,As few as 45,"Hunting, invasive species, pollution, disease",its loose skin," Lake Titicaca frog, Titicaca water frog",one to two weeks,the lake titicaca basin,Carnivore,,,Scrotum frog,1.0,peru and bolivia,,solitary,BrownGreyGreen,Skin,,up to 15 years,nine ounces to two pounds,"As much as eight inches, with 16-inch hind legs",five years,,80 to 500,"trou, humans",amphibian,,,,,,,,,,,,,1,0,0,0.25515,20.32
40,25,Spadefoot Toad,"['Europe', 'North-America']",Animalia,Chordata,Amphibia,Mesobatrachia,Pelobatidae,Pelobates,Mesobatrachia,,,,,,,,,marshland prairies and open floodplains,Omnivore,250,Solitary,,,,They spend most of their time underground!,,BrownGreyTan,Permeable Scales,10 mph,4-8 years,50-100g (1.7-3.5oz),,,,,"Birds, Fish, Snakes",Amphibian,,,,,,,"Fly, Ants, Spiders",,,,Fly,,1,0,0,0.075,Unknown
41,34,Striped Rocket Frog,['Oceania'],Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria nasuta,,,,,,,,,woodland swamps and ponds,Carnivore,,Solitary,,,,Long powerful hind legs!,,BrownBlackTanGreen,Permeable,5 mph,10 - 15 years,5g - 8g (0.17oz - 0.28oz),5cm - 5.5cm (1.9in - 2.1in),,,,,Amphibian,,Long legs and streamlined body,,60.0,,,"Insects, Moths, Spiders",,,,Insects,,1,0,0,0.0065,13.34
42,26,Tiger Salamander,"['North-America', 'Ocean']",Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum,,,,,,,,,"wetlands, rivers and streams",Carnivore,,Solitary,,,,Found across the North American wetlands!,,BrownGreyYellowBlackGreen,Permeable,10 mph,10-15 years,113-227g (4-8oz),,,,,"Raccoon, Coati, River Turtles",Amphibian,,,,50.0,,,"Insects, Worms, Small Frogs",,,,Insects,,1,0,0,0.17,Unknown
43,42,Tree Frog,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Amphibia,Anura,Hylidae,,,,,,,,,,,"forests, woodlands and marshes",Carnivore,,Solitary,,,,Found in warmer jungles and forests!,,BrownGreyYellowBlackGreen,Permeable,10 mph,2-4 years,2-17g (0.07-0.6oz),,,,,"Birds, Mammals, Reptiles",Amphibian,,,,50.0,,,"Insects, Worms, Small Frogs",,,,Insects,,1,0,0,0.0095,Unknown
