name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Barb,Eurasia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",Unknown,School,unknown,water pollution,vibrant colors,Unknown,3-4 days,Slow flowing rivers and lagoons,Omnivore,Unknown,Unknown,Barb,1768.0,Unknown,There are over 1768 known species!,Unknown,YellowRedBlackWhiteOrangeSilver,Scales,Unknown,3 - 7 years,Unknown,2-13 inches,Unknown,Unknown,Unknown,"Fish, Birds, Reptiles",Cypriniformes,Unknown,Easily adaptable and rows of teeth,Unknown,Unknown,1500.0,Unknown,Unknown,"Fish, Shrimp, Algae",Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6.0 - 8.0,Unknown,Unknown,1,0,0,Unknown,18.75
Barb,South-America,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus Barbus,"Small fish, algae, insects",Unknown,School,unknown,water pollution,vibrant colors,Unknown,3-4 days,Slow flowing rivers and lagoons,Omnivore,Unknown,Unknown,Barb,1768.0,Unknown,There are over 1768 known species!,Unknown,YellowRedBlackWhiteOrangeSilver,Scales,Unknown,3 - 7 years,Unknown,2-13 inches,Unknown,Unknown,Unknown,"Fish, Birds, Reptiles",Cypriniformes,Unknown,Easily adaptable and rows of teeth,Unknown,Unknown,1500.0,Unknown,Unknown,"Fish, Shrimp, Algae",Fresh,Unknown,Unknown,Fish,Unknown,Unknown,6.0 - 8.0,Unknown,Unknown,1,0,0,Unknown,18.75
Barracuda,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coastal lagoons and coral reefs,Carnivore,Unknown,Unknown,Barracuda,Unkown,Unknown,Can grow to nearly 2 meters long!,Unknown,BrownGreyBlueBlack,Smooth,Unknown,10 - 15 years,Unknown,0.5m - 2m (20in - 79in),Unknown,Unknown,Unknown,"Sharks, Humans, Killer Whales",Unknown,Unknown,Large body size and powerful jaws,Unknown,Unknown,1000.0,Unknown,Unknown,"Fish, Plankton, Invertebrates",Salt,Unknown,Unknown,Fish,Unknown,Unknown,5 - 7,Unknown,Unknown,1,0,0,Unknown,125
Barramundi Fish,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Latidae,Lates,Lates calcarifer,"Fish, crustaceans, mollusks",Unknown,Solitary,Unknown,Ocean acidification,"Pointed, concave head","Asian sea bass, giant sea perch",Unknown,"Rivers, streams, ocean",Carnivore,Unknown,Unknown,Barramundi,1.0,Unknown,Unknown,Unknown,GreenSilver,Scales,Unknown,Unknown,120lbs,1.5m (4.9ft),Unknown,Unknown,Unknown,"Humans, snakes, birds, crocodiles",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,54,150
Basking Shark,Ocean,Animalia,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,Cetorhinus Maximus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Temperate waters along continental shelves,Carnivore,Unknown,Unknown,Basking Shark,Unkown,Unknown,The second biggest fish in the world!,Unknown,BrownGreyBlack,Smooth,Unknown,20 - 100 years,Unknown,6m - 12m (20ft - 39ft),Unknown,Unknown,Unknown,"Sharks, Humans, Killer Whales",Unknown,Unknown,Enormous mouth and large body size,Unknown,Unknown,6.0,Unknown,Unknown,"Fish, Plankton, Invertebrates",Salt,Unknown,Unknown,Fish,Unknown,Unknown,5 - 7,Unknown,Unknown,1,0,0,Unknown,900
Beluga Sturgeon,Ocean,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso huso,Fish,Unknown,Solitary/Group,Unknown,Overfishing,The bony armor,Great sturgeon,A few days,"Rivers, estuaries, and seas",Carnivore,Unknown,Unknown,Beluga,Unkown,Unknown,Unknown,Unknown,GreyBlueWhiteDark Brown,Skin,Unknown,More than 50 years,"Up to 3,500 pounds",Up to 20 feet,Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saltwater,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,787,304.8
Betta Fish (Siamese Fighting Fish),Asia,Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae,Betta,Betta splendens,"Zooplankton, small crustaceans, larvae",Unknown,Territorial,Unknown,"Habitat destruction, pollution, and cold temperatures","Brilliant colors, aggressiveness, long tail fin",Betta or Betta splendens,Unknown,"Marshes, flood plains, paddy fields",Carnivore,Unknown,Unknown,Siamese Fighting Fish,73.0,Unknown,Can live in low-oxygen environments!,Unknown,BrownGreyYellowRedBlueWhiteGoldGreenOrangeMulti-colored,Scales,Unknown,3-5 years,Unknown,6-8cm (2.4-3.1in),Unknown,Unknown,Unknown,"Larger fish, cats, newts, salamanders, birds, humans",Anabantoid,Unknown,Unknown,Unknown,Unknown,30.0,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Insects,Unknown,Unknown,6.9 - 7.2,Unknown,Unknown,1,0,0,Unknown,7
Bichir,Africa,Animalia,Chordata,Actinopterygii,Polypteriformes,Polypteridae,Polypterus,Unknown,"Crustaceans, insects, vertebrates, and small fish",Unknown,School,unavailable,Environmental damage,"Small, ray-like fins along an elongated back","Dragon fish, dinosaur eel",3-4 days,Rivers and lakes,Carnivore,Unknown,Unknown,Bichir,13.0,Unknown,Unknown,Unknown,BrownGreyGreen,Scales,Unknown,15-20 years,5 - 10 lbs,11 - 30 inches,Unknown,Unknown,Unknown,Unknown,Polypterid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,51
Black Marlin,Ocean,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophordae,Istiompax,Istiompax Indica,Unknown,Unknown,Unknown,Unknown,Humans and human activities,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,Females: 11 years | Males: 5 years,1653,183.6 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, squid, octopods",Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,457
Blanket Octopus,Ocean,Animalia,Mollusca,Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus,Unknown,Small fish,Unknown,Solitary,"Unknown, but status is Least Concern",Natural predators,"Billowing cape (F), tiny size (M)",Unknown,Unknown,"Surface to mid-water, Coral reef",Carnivore,Unknown,Unknown,Blanket octopus,4.0,Unknown,Unknown,Unknown,YellowRedBlueWhiteGreenOrangePurplePink,Smooth,Unknown,"4 years (F), 1.5 years (M)","6-10lbs (F), under an ounce (M)","3-6ft (F), ~1in (M)",Unknown,Unknown,Unknown,"Blue shark, billfish, tuna",octopoda,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,3.5,137
Blobfish,Ocean,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Psychrolutidae,Psychrolutes,Psychrolutes marcidus,"Crustaceans, anything it finds",Unknown,Unknown,Unknown,Unknown,Unknown,Sculpin,Unknown,Deep ocean waters,Omnivore,Unknown,Sedentary,Blobfish or Smooth-Head Blobfish,Unkown,"Oceans near Australia, New Zealand, Japan, and California",One of the ugliest creatures in existence!,Fish,GreyWhitePink,Hair,Unknown,Unknown,9kg (20 lbs),30.48cm – 71.12cm (12in-28in),Unknown,Unknown,Unknown,Humans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,9,52
Blue Catfish,Central-America,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus,Aquatic animals,Unknown,School,Unknown; 100 million in the Chesapeake Bay,None,Large size,"Blue channel, chucklehead cat, Mississippi cat, Fulton cat, forktail cat, great forktail cat, humpback blue, silver cat, and highfin blue",6-10 days,"Reservoirs, rivers, lakes, and ponds",Omnivore,Unknown,Unknown,Blue catfish,1.0,Unknown,Unknown,Unknown,GreyBlueSilver,Scales,0.6 mph,9-25 years,25-150lbs,24-65in,Unknown,Unknown,Unknown,"Osprey, bald eagles, and humans",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,5.0-7.0,Unknown,Unknown,1,0,0,39,111.25
Blue Catfish,North-America,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus,Aquatic animals,Unknown,School,Unknown; 100 million in the Chesapeake Bay,None,Large size,"Blue channel, chucklehead cat, Mississippi cat, Fulton cat, forktail cat, great forktail cat, humpback blue, silver cat, and highfin blue",6-10 days,"Reservoirs, rivers, lakes, and ponds",Omnivore,Unknown,Unknown,Blue catfish,1.0,Unknown,Unknown,Unknown,GreyBlueSilver,Scales,0.6 mph,9-25 years,25-150lbs,24-65in,Unknown,Unknown,Unknown,"Osprey, bald eagles, and humans",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,5.0-7.0,Unknown,Unknown,1,0,0,39,111.25
Blue Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Cephalopods and fish, injured marine mammals",Unknown,School,At least 20 million,Humans,Its blue coloration,"Blue dog, blue whaler",9 to 12 months,"The deep, open ocean",Carnivore,Unknown,Unknown,Blue shark,1.0,Unknown,Unknown,Unknown,GreyBlue,Rough,43 mph,15 years,60 to 121 pounds in males and 205 to 401 pounds in females,11 feet,Unknown,Unknown,Unknown,"Tiger sharks, great white sharks, orcas, humans, sea lions",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1,Unknown,Unknown,1,0,0,40,Unknown
Blue-Ringed Octopus,Ocean,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Hapalochlaena,Unknown,"Shrimp, crabs, and fish",Larvae,Solitary,Unknown,Habitat changes,The glowing blue rings on the yellow skin,Unknown,6 months,Tidal pools and coral reefs,Carnivore,Unknown,Unknown,Blue-ringed Octopus,4.0,Pacific and Indian Oceans,Unknown,Unknown,BrownYellowBlueWhite,Skin,Unknown,2 years,10-100g (0.35-3.5oz),Unknown,A year,Unknown,50 eggs,"Seals, birds, eels, and larger fish",Cephalopod,12-25cm (5-10in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,Unknown
Bluefin Tuna,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Unknown,Unknown,Unknown,School,More than a million,Overfishing,The torpedo-shaped body,Giant bluefin,A few days,Oceans,Carnivore,Unknown,Unknown,Bluefin tuna,3.0,Unknown,Unknown,Unknown,GreyBlueSilver,Smooth,50 mph,Up to 40 years,"Up to 2,000lbs",1.8m – 4.2m (6ft - 14ft),Unknown,Unknown,Unknown,Unknown,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, crustaceans, cephalopods, and mollusks",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,450,300
Bluegill,Central-America,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,"Insects, small crustaceans",Unknown,School,Unknown,Recreational fishing,Black spot on its dorsal fin,"Bluegill sunfish, Bream",3 days,"Lakes, streams",Carnivore,Unknown,Unknown,Bluegill,38.0,Unknown,Unknown,Unknown,BrownYellowRedBlueBlackGreenOrange,Scales,Unknown,4-6 years,1 - 2.6lbs,7 - 16 inches,Unknown,Unknown,Unknown,"Birds, raccoons, large fish, humans",Perciformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,7.0-7.5,Unknown,Unknown,1,0,0,0.81,28.75
Bluegill,North-America,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus,"Insects, small crustaceans",Unknown,School,Unknown,Recreational fishing,Black spot on its dorsal fin,"Bluegill sunfish, Bream",3 days,"Lakes, streams",Carnivore,Unknown,Unknown,Bluegill,38.0,Unknown,Unknown,Unknown,BrownYellowRedBlueBlackGreenOrange,Scales,Unknown,4-6 years,1 - 2.6lbs,7 - 16 inches,Unknown,Unknown,Unknown,"Birds, raccoons, large fish, humans",Perciformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,7.0-7.5,Unknown,Unknown,1,0,0,0.81,28.75
Bonito Fish,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Sarda,Sarda,Sardines and anchovies or other small fish,Unknown,School,Unknown due to this fish’s frequent migration patterns.,Overfishing for consumption,Tuna-like appearance with stripes and varying coloration,"Striped Bonito, Bunny, Common Bonito, Horse Mackerel, Little Bonito, Skipjack",Eggs take 3 days to hatch.,Worldwide from the open ocean to nearshore areas with kelp accumulations,Carnivore,Unknown,Unknown,Unknown,4.0,Unknown,Unknown,Unknown,GreyBlackSilver,Scales,40 mph,6 to 8 years,Up to 25 pounds,Up to 48 inches,Unknown,Unknown,Unknown,"Blue fin tuna, swordfish, marlins and other large fish",Schooling fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Other small fish and invertebrate ocean life,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,5.6,60
Bonnethead Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,Sphyrna tiburo,"Crustaceans, cephalopods",Unknown,School,"Unknown, but the shark is abundant where it is found",Humans,Its head,"Bonnet shark, shovelhead shark, Bonnetnose shark, bonnet hammerhead",4.5 to 5 months,"Warm, offshore waters",Omnivore,Unknown,Unknown,Bonnethead shark,1.0,Unknown,Unknown,Unknown,GreyBlack-BrownGrey-Brown,Rough,0.7 mph,Unknown,6.6 to 8.8 pounds,20 to 39 inches in length. Females are larger.,Unknown,Unknown,Unknown,"Humans, larger sharks",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brackish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,3.46,73
Bowfin,Central-America,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,Amia calva,"Crustaceans, insects, amphibians, and other fish",Unknown,Solitary,Unknown,Loss of habitat,Eyespot,"Mudpike, mudfish, dogfish, grinnel fish, and swamp trout",8-10 days,"Lakes, ponds, wetlands, rivers, and streams",Carnivore,Unknown,Unknown,Bowfin,1.0,Unknown,Unknown,Unknown,BrownBlackGreen,Scales,Unknown,10 to 12 years on average,Up to 21lbs,51cm – 109cm (20in – 43in),Unknown,Unknown,Unknown,"Alligators, other bowfins, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-7.5,Unknown,Unknown,1,0,0,4.7,80
Bowfin,North-America,Animalia,Chordata,Actinopterygii,Amiiformes,Amiidae,Amia,Amia calva,"Crustaceans, insects, amphibians, and other fish",Unknown,Solitary,Unknown,Loss of habitat,Eyespot,"Mudpike, mudfish, dogfish, grinnel fish, and swamp trout",8-10 days,"Lakes, ponds, wetlands, rivers, and streams",Carnivore,Unknown,Unknown,Bowfin,1.0,Unknown,Unknown,Unknown,BrownBlackGreen,Scales,Unknown,10 to 12 years on average,Up to 21lbs,51cm – 109cm (20in – 43in),Unknown,Unknown,Unknown,"Alligators, other bowfins, and humans",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-7.5,Unknown,Unknown,1,0,0,4.7,80
Boxfish,Ocean,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion,Ostracion cubicus,"Algae, worms, small fish",Unknown,Solitary,unknown,Being captured as exotic pets,Box-like body shape,"Cowfish, trunkfish",Unknown,Ocean,Omnivore,Unknown,Unknown,Box fish,24.0,Unknown,Unknown,Unknown,BrownYellowBlueBlackWhite,Scales,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Large size fish, sharks, humans",Tetraodontiformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,8.1-8.4,Unknown,Unknown,1,0,0,Unknown,Unknown
Bull Shark,Ocean,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Leucas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shallow and tropical waters,Carnivore,10,Solitary,Unknown,Unkown,Unknown,Unpredictable and aggressive temperament!,Unknown,GreyBlue,Scales,25 mph,16 - 25 years,90kg - 230kg (200lbs - 500lbs),2.1m - 3.5m (7ft - 11.5ft),Unknown,Unknown,Unknown,"Human, Tiger sharks",Fish,Unknown,"Flat, rounded snout and two dorsal fins",Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Sharks, Stingray",Unknown,Unknown,Unknown,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,160,280
