name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Rinkhals Snake,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Hemachatus,Hemachatus haemachatus,"Frogs, toads, rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,20-35 live snakelets,Unknown,Rinkhals,Unkown,Unknown,Unknown,Unknown,YellowBlackWhite,Unknown,Unknown,20-25 years,Unknown,3ft-3.5 ft,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,0.0
Snake,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,"There are around 3,000 known species worldwide",Unknown,Unknown,Scales,20 mph,30 years,150kg (330lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Worm Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Carphophis,"Carphophis amoenus, Carphophis vermis","Caterpillars, snails, slugs, and other soft-bodied invertebrates",Snakelets or hatchlings,Unknown,Unknown,Unknown,They have spiked tails but they don't sting!,"Blind snakes, thunder snakes, milk snakes, eastern twig snakes, and cricket snakes",Unknown,Unknown,Omnivore,Unknown,Unknown,Worm snake,Unkown,Unknown,Unknown,Unknown,RedBlackDark BrownPurplePink,Unknown,Unknown,4 years,Unknown,7.5 - 11 inches,Unknown,Unknown,Unknown,"Other snakes, oppossums, birds",Unknown,Unknown,"Narrow, cone-shaped heads",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Earthworms,Unknown,Unknown,"Abandoned burrows, in decaying wood, or under rocks",Unknown,Earthworms,Unknown,Unknown,1,0,0,1.9277675725,9.525
Mangrove Snake,['Asia'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga dendrophila,"Reptiles, birds, small mammals.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4 to 15 eggs,Unknown,Mangrove snake or gold-ringed cat snake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12 to 17 years,Unknown,6-7 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Parrot Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptophis,Leptophis ahaetulla,"Lizards, frogs, and small birds",Hatchlings,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Lora or parrot snake,Unkown,Unknown,Unknown,Unknown,GoldGreen,Unknown,Unknown,7-8 years,Unknown,Up to 68 inches long (with tail),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,112.776
Yarara,['South-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,Bothrops alternatus,"Youngers snakes eat insects, toads, frogs and smaller reptiles. Adults prefer rodents and other small mammals.",Unknown,Unknown,Unknown,Unknown,Vivid brown to black trapezoidal marks edged in white or cream,Unknown,Unknown,"South American forests, marshes, swamps, grasslands, and riverine habitats",Carnivore,Unknown,Nocturnal,"Yarara, crossed pit viper, urutu, wutu",Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10 - 20 years,Unknown,2.6 - 4 feet,Two years old,Unknown,Unknown,"Birds of prey, including the burrowing owls",Unknown,Unknown,The snake's belly is pale with a single dark stripe that runs the entire length of its body,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,121.92
Indigo Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon couperi,"Snakes, mammals, reptiles",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4 to 12,Unknown,Indigo snake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7 to 9 feet,Unknown,Unknown,Unknown,Unknown,Unknown,"Snakes, mammals, reptiles",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.0799455689743153,8.382
Blue Iguana,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,Cyclura lewisi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,182.88
Chinese Alligator,['Asia'],Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Aliigator sinensis,"Small mammals, water birds, fish, aquatic mollusks; hatchlings eat insects, spiders and other invertebrates.",Hatchling,Sociable,"150, maybe even less than 100; conservation status critically endangered",Humans,Osteoderms on its belly,"China alligator, muddy dragon, Yow Lung, T’o, Yangtze alligator",Females gravid for a little over a month,"Subtropical wetlands, rivers, streams, lakes, ponds and swamps",Carnivore,Unknown,Unknown,Chinese alligator,1.0,"Yangtze River basin, China",Unknown,Congregation,GreyYellowBlack,Boney Plates,35 mph,50 years,80-100 pounds,"4.59-7 feet, males are larger",4-5 years,Unknown,10-40 hatchlings,Humans,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,97.536
Coachwhip Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis flagellum,"Rodents, bird, insects, amphibians, and lizards",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4-24 eggs,Unknown,Coachwhip,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10-20 years,Unknown,3-8 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,106.68
Fox Snakes,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,P. vulpinus and P. ramspotti,"Mice, rats, young rabbits, ground-nesting birds and sometimes their eggs, frogs, lizards",Hatchling,Solitary,Unknown,"Mistaken identity, roads",Copper or bronze-colored head,Unknown,Unknown,Unknown,Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,Fox snake,-1.0,Unknown,Unknown,Unknown,BrownGreyBeigeChestnut,Scales,Unknown,approximately 20 years,Unknown,Unknown,Unknown,Unknown,6-30,"Foxes, coyotes, hawks.",Unknown,Unknown,Strongly patterned alternating blotches down the length of their spine.,"Shy, but generally docile.",Unknown,Unknown,Unknown,Unknown,Unknown,Mice and birds,Unknown,Unknown,Unknown,Unknown,Mice,Unknown,Unknown,1,0,0,2.177243376,76.2
Spiny Hill Turtle,['Asia'],Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys spinosa,Unknown,Hatchling,Solitary,Unknown,Habitat destruction,Spiked shell,Cogwheel turtle,100 - 145 days,"Forest, rainforest, mountains, hills",Omnivore,Unknown,Unknown,Spiny turtle,1.0,Indo-Malaysia,Unknown,Unknown,BrownRedOrangeBeige,Scales,3 mph,20 years,1.5 - 2kg (3 - 4.5lbs),175 - 220mm (.6 - .75ft),Unknown,Unknown,1 - 3,humans,Reptile,90 - 110 mm (.3 - .4ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, fruit, vegetation",Unknown,Unknown,1,0,0,2.177243376,76.2
Texas Indigo Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Drymarchon,Drymarchon melanurus erebennus,"snakes, small mammals, lizards, birds",Hatchlings,Solitary,Unknown,"Birds of Prey, Human encroachment",Iridescent blueish sheen in the light.,"Texas blue indigo, blue indigo snake, indigo snake",Unknown,"Grasslands, brush, forests in Texas, from San Antonio south, and into northern Mexico as far south as Veracruz.",Carnivore,Unknown,Diurnalterrestrial,Texas Indigo Snake,Unkown,Unknown,Unknown,Unknown,BrownBlackBlack-Brown,Scales,Unknown,Estimated at 15,Unknown,Unknown,2-3 years,Unknown,3-12,Birds of prey like hawks and eagles,Unknown,Unknown,Unknown,Mostly docile unless harassed,Unknown,Unknown,Unknown,Unknown,Unknown,All native venomous snakes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.38,55.0
Slow Worm,"['Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Grassland and woodlands,Carnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Found widely throughout British gardens!,Unknown,BrownGreyYellowBlackTan,Scales,0.3 mph,10 - 30 years,20g - 100g (0.7oz - 3.5oz),20cm - 50cm (8in - 20in),Unknown,Unknown,Unknown,"Cats, Dogs, Birds",Reptile,Unknown,Long snake-like body and small eyes,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,"Insects, Slugs, Worms",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,236.22
Gharial,['Asia'],Animalia,Chordata,Reptilia,Crocodilia,Gavialidae,Gavialis,Gavialis gangeticus,"Fish, crustaceans, waterfowl, frogs",Hatchling,Solitary,182,Habitat loss and hunting,Long and slender snout,"Indian gharial, Fish-eating gharial, Gavial",Unknown,Wide and calm slow-moving rivers,Carnivore,Unknown,Nocturnal,Gharial,2.0,Northern India and Nepal,Found in the murky waters of Northern India!,Reptile,GreyOlive,Plate-like scales,15 mph,30 - 50 years,150kg - 250kg (330.7lbs - 551lbs),3.6m - 6.5m (11.8ft - 21ft),10 years,Unknown,Unknown,"Humans, Snakes, Birds of prey",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3 months,Unknown,Unknown,Unknown,Unknown,1 - 2 years,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,175.26
Mussurana Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Clelia,"Clelia clelia, Clelia equatoriana, Clelia hussami, Clelia langeri, Clelia plumbea, Clelia scytalina","Other snakes, including venomous snakes, small mammals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,9 to 25,Unknown,Mussurana,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowBlackWhitePink,Unknown,Unknown,11.5 to 12 years,Unknown,4.9 to 8.2 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.0,16.002
Yellow Spotted Lizard,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Xantusiidae,Lepidophyma,Lepidophyma flavimaculatum,Insects,"Hatchlings, juvenile, or neonate.",Solitary,Unknown,Loss of habitat,yellow spots,"Yellow-spotted tropical night lizard, yellow-spotted night lizard.",2.5 months,"Rainforests, tropical dry forests, subtropical wet forests, and in water.",Carnivore,Unknown,Unknown,Yellow spotted night lizard,1.0,"Central America, South America, Mexico",Unknown,Unknown,YellowDark Brown,Scales,Unknown,10-15 years,3.2 lbs.,2.5 – 5 inches,1-2 years old,Unknown,5-8 hatchlings,"Birds, other lizards.",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.0,32.004
Tree Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga irregularis,"Rats, birds, lizards, bats",Unknown,Unknown,Unknown,Unknown,Large eyes and vertical pupils,Cat snake,Unknown,Unknown,Omnivore,Unknown,Nocturnal,Brown tree snake,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,A large head compared to its slender body,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,In a crevice or beneath a rock to keep them cool,Unknown,Unknown,Unknown,Unknown,1,0,0,,
Bush Viper,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Atheris,Unknown,small mammals and birds,Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Bush viper,Unkown,Unknown,Unknown,Unknown,Unknown,Scales,Unknown,10–20 years,4.4–8.1 pounds,18–24 inches,Unknown,Unknown,Between nine and 12 at a time,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,76.2
Mexican Alligator Lizard,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Anguidae,Abronia,Abronia graminea,"Diurnal crickets, grasshoppers, hornworms",Neonates,Solitary,Unknown,Man,Vibrant color,Green arboreal alligator lizard,6-8 months,Mesic cloud and pine-oak forest canopies,Carnivore,Unknown,Unknown,"Alligator lizard, green arboreal alligator",1.0,Mexico,Unknown,Unknown,GreenOrange,Scales,Unknown,10 years,21g(0.75oz),160mm-320mm(6in-12in),3 years,Unknown,1-12,"Dogs, cats, rodents",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,7.0
Rhombic Egg-Eater Snake,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Dasypeltis,Dasypeltis scabra,Unknown,hatchlings or snakelets,Unknown,Unknown,Unknown,"These snakes don't have teeth! Instead, they have ridges in their mouth and throat to hold eggs and projections in their spine to pierce the shell.",Egg-eating snake or the common egg-eater,Unknown,These snakes thrive almost anywhere except in extreme deserts and in forests with closed canopies.,Carnivore,Unknown,Nocturnal,Rhombic Egg-Eater Snake,2.0,Unknown,Unknown,Unknown,BrownYellowTanGrey-Brown,Unknown,Unknown,13 to 22 years,Unknown,40 to 46 inches,Unknown,Unknown,Unknown,Snake-eating eagles and other predators,Unknown,Unknown,Dark rhomboid-shaped spots on its back,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Bird's eggs,Unknown,Unknown,1,0,0,,
Painted Turtle,['North-America'],Animalia,Chordata,Reptilia,Testudines,Emydidae,Chrysemys,Chrysemys picta,"insects, small fish, small mammals, crustaceans",hatchling,Group,Unknown,Habitat reduction,colorful stripes on legs and neck,"Western, eastern, midland, and southern painted turtle",80 days,"Ponds, streams, marshes",Omnivore,Unknown,Unknown,Painted turtle,Unkown,Unknown,Unknown,large groups,YellowRedBlackGreenOrange,Hard Outer Shell,3 mph,Unknown,Unknown,Unknown,Unknown,Unknown,4-10,"Raccoons, otters, foxes",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1,0.0002097862448262,3.0
Carpet Python,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Boidae,Morelia,Morelia spilota,"Birds, mammals",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Up to 18 eggs,Unknown,Python,Unkown,Unknown,Unknown,Unknown,BrownYellowBlack,Unknown,Unknown,20 years +,Unknown,12 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,121.92
Eastern Glass Lizard,['North-America'],Animalia,Chordata,Reptilia,Squamata,Anguidae,Ophisaurus,Ophisaurus ventralis,"Lizards, snakes, mice, invertebrates such as insects, spiders, earthworms and snails as well as each other.",Hatchling,Solitary,Unknown,"Habitat destruction, vehicular accidents",Lack of legs even though it’s a lizard and not a snake," Joint snake, stinging snake, horn snake",50 to 60 days,"Wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks, coastal dunes",Carnivore,Unknown,Unknown,Eastern glass lizard,1.0,Southeastern United States,Unknown,solitary,BrownYellowBlackWhiteGreen,Scales,4 mph,Lifespan of 10 to 30 years,11 to 21 ounces,18 to 43 inches,Two to three years,Unknown,Five to 15 eggs,"Foxes, skunks, birds of prey, snakes and raccoons",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,144.78
