name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Blackpoll Warbler,"['Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophage,Setophaga striata,"Flies, lice, beetles, fruit",,,"59,000,000",habitat loss,Black feathers on its head (males),New World warbler,,Evergreen forests and thickets,Omnivore,,,Blackpoll warbler,,"North America, South America, western Europe",,,BrownBlackWhiteGreen,,37 mph,3-6 years, 0.4-0.5 ounces,Up to 5.5inches,,,3-5 eggs,hawks and snakes,bird,3-4 inches,,,,8-9 inches,12 days,,,,,,,,,in trees- up to 30 feet above the ground,11-12 days,,,1.0,,
Blanket Octopus,['Ocean'],Animalia,Mollusca,Cephalopoda,Octopoda,Tremoctopodidae,Tremoctopus,,Small fish,,Solitary,"Unknown, but status is Least Concern",Natural predators,"Billowing cape (F), tiny size (M)",,,"Surface to mid-water, Coral reef",Carnivore,,,Blanket octopus,4.0,,,,YellowRedBlueWhiteGreenOrangePurplePink,Smooth,,"4 years (F), 1.5 years (M)","6-10lbs (F), under an ounce (M)","3-6ft (F), ~1in (M)",,,,"Blue shark, billfish, tuna",octopoda,,,,,,,,,,,,,,,,,,,,,
Blue Belly Lizard,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Phyrnosomatidae,Sceloporus,Sceloporus occidentalis,"Spiders, insects, and other lizards",hatchling,Solitary,,habitat loss,The blue-colored abdomen,Western fence lizard,3-6 weeks,"Grasslands, forests, farmlands, and plains",Carnivore,,,Blue Belly Lizard,1.0,Western United States,,,BrownGreyYellowBlueBlack,Scales,,5-7 years,1 ounce,4.3-8.3 inches,1.5-2 years,,,"Coyotes, snakes, bobcats, and hawks",reptile,< 1 inch,,,,,,,13.0,,,,,,,,,,,,,
Blue Catfish,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus furcatus,Aquatic animals,,School,Unknown; 100 million in the Chesapeake Bay,None,Large size,"Blue channel, chucklehead cat, Mississippi cat, Fulton cat, forktail cat, great forktail cat, humpback blue, silver cat, and highfin blue",6-10 days,"Reservoirs, rivers, lakes, and ponds",Omnivore,,,Blue catfish,1.0,,,,GreyBlueSilver,Scales,0.6 mph,9-25 years,25-150lbs,24-65in,,,,"Osprey, bald eagles, and humans",Fish,,,,,,,,,,,,Brackish,,,,,,,,5.0-7.0,
Blue grosbeak,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriforme,Cardinalidae,Passerina,Passerina caerulea,"Insects, snails and other small invertebrates",,,24 million,Predators such as cats,The male’s bright blue plumage,,,Favored habitat is open woods with some shrubs and small trees,Omnivore,,,Blue grosbeak,1.0,"United States, Mexico, Central America, the Caribbean",,,BrownBlue,Feathers,30 mph,,0.92 and 1.11 ounces,5.5 to 7.5 inches,,,Three to five chicks,"Cats, snakes, birds of prey",Bird,,,,,10 to 11.5 inches,12 to 13 days,,,,,,,,,"In small trees, vines, briars or shrubs near an open area",9 to 10 days,,,1.0,,
Blue Iguana,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Iguanidae,Cyclura,Cyclura lewisi,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay,['North-America'],Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta cristata,"Grasshoppers, caterpillars, beetles",Nestlings,,13 million,Predators and collision with man-made structures,“Jay-jay” sounds while communicating and bright blue feathers,,16 to 18 days,"Low forest areas, oak and beech trees, city parks, residential areas",Omnivore,,DiurnalSociable,Blue Jay,3.0,"North America, Southern Canada",,Party/ band,Blue,Feathers,25 mph,7 years on an average,2.7 to 3.5 oz,9 to 12 inches,One year,17 to 21 days old,Two to seven nestlings,"Cats, hawks, owls, snakes, raccoons",,9 to 12 inches,,,,,,,,,,,,,,,,"Nuts, seeds, acorns, grasshoppers, caterpillars, beetles, eggs, nestlings",,,,
Blue Lacy Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,5,,Blue Lacy Dog,,,Originated in Texas in the mid 1800s!,Herd,BrownGreyFawnBlueWhiteTanCream,Hair,,,,,,,,,,,,"Intelligent, active and alert",Should be trained from an early age as they can become dominant,,,,,,,,,,,,,,,,,
Blue Picardy Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyBlack,Hair,,13 years,70 lbs,,,,,,,,,"Energetic, loyal, hard-working, and friendly",,,,,,,,,,,,,,,,,,
Blue Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Cephalopods and fish, injured marine mammals",,School,At least 20 million,Humans,Its blue coloration,"Blue dog, blue whaler",9 to 12 months,"The deep, open ocean",Carnivore,,,Blue shark,1.0,,,,GreyBlue,Rough,43 mph,15 years,60 to 121 pounds in males and 205 to 401 pounds in females,11 feet,,,,"Tiger sharks, great white sharks, orcas, humans, sea lions",Fish,,,,,,,,,,,,Salt,,,,,,,,8.1,
Blue Whale,['Ocean'],Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balsenoptera musculus,"Krill, Crustaceans, Small Fish",Calf,Solitary,"Less than 20,000",Climate change,Pleats on neck and two blow-holes,"Northern, Southern, Pygmy",11 -12 months,Polar and subtropical waters,Carnivore,1,Diurnal,Blue Whale,3.0,Oceans worldwide,The largest animal on Earth,Mammal,GreyBlueBlackWhite,Smooth,13 mph,30 - 45 years,"100tonnes - 160tonnes (220,000lbs - 352,000lbs)",25m - 30m (82.5ft - 100ft),10- 15 years,8 months,,"Humans, Killer Whale pods",,,,,,,,,,,,,,,,,,,,,,
Bluefin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,,,,School,More than a million,Overfishing,The torpedo-shaped body,Giant bluefin,A few days,Oceans,Carnivore,,,Bluefin tuna,3.0,,,,GreyBlueSilver,Smooth,50 mph,Up to 40 years,"Up to 2,000lbs",1.8m – 4.2m (6ft - 14ft),,,,,Ray-finned fish,,,,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",,,,,,,,,,
Bobcat,"['Central-America', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,"Rabbits, Mice, Deer",Kitten,Solitary,"1,000,000",Hunting and habitat loss,Short ear tufts and bobbed tail,"Red Lynx, Wildcat",60 - 70 days,"Mountainous forest, swamp, desert",Carnivore,3,Nocturnal/Crepuscular,Bobcat,12.0,North America,About double the size of a domestic cat!,Mammal,BrownRedBlackWhiteTawnyBeige,Fur,34 mph,12 - 15 years,4.1kg - 15.3g (9lbs - 33lbs),65cm - 100cm (25in - 40in),1 - 2 years,12 weeks,,"Cougar, Wolves, Coyotes",,,,,,,,,,,,,,,,,,,,,,
Boiga,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Boiga,Boiga,"Rodents, lizards",,,,,,,,,Carnivore,10 to 20,,Cat snake,,,,,BlackGold,,,12 to 15 years,,2 to 3 feet,,,,,,,,,,,,,,Yes,Low,,,,,,,,,,,
Bombay,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,,,,Omnivore,6,,Bombay,,,,Shorthair,Black,Hair,,12 to 18 years,8 to 15 lbs.,,,,,,,,,"Intelligent, energetic, calm and friendly",,,,,,,,,,,,,,,,,,
Bonnethead Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,Sphyrna tiburo,"Crustaceans, cephalopods",,School,"Unknown, but the shark is abundant where it is found",Humans,Its head,"Bonnet shark, shovelhead shark, Bonnetnose shark, bonnet hammerhead",4.5 to 5 months,"Warm, offshore waters",Omnivore,,,Bonnethead shark,1.0,,,,GreyBlack-BrownGrey-Brown,Rough,0.7 mph,,6.6 to 8.8 pounds,20 to 39 inches in length. Females are larger.,,,,"Humans, larger sharks",Fish,,,,,,,,,,,,Brackish,,,,,,,,,
Boomslang,['Africa'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Dispholidus,Dispholidus typus,"Reptiles, frogs, birds, eggs, and small mammals",,,,,,,,,Omnivore,,,Boomslang,,,,,BrownGreen,,,8-9 years in captivity,,,,, 8-27 eggs,,,,,,,,,,,,,,,,,,,,,,,
Borador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteTan,Hair,,10 - 12 years,65 lbs,,,,,,,,,Energetic and eager to please,,,,,,,,,,,,,,,,,,
Bornean Orang-utan,['Asia'],Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo pygmaeus,"Fruits, Bark, Insects",Infant,Solitary,"13,500",Habitat loss,Highly intelligent with very long arms,"Red Ape, Forest People",9 months,Lowland forest and peat-swamps,Omnivore,1,Diurnal,Bornean Orang-utan,3.0,Borneo,Known to use large leaves as umbrellas!,Mammal,BrownGreyRedBlackOrange,Hair,2.7 mph,30 - 40 years,30kg - 90kg (66lbs - 200lbs),,12 - 15 years,3 years,,"Human, Tiger, Clouded Leopard",,1.25m - 1.5m (4ft - 5ft),,,,,,,,,,,,,,,,,,,,
Borneo Elephant,"['Asia', 'Ocean']",Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus borneensis,,,,,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,The smallest species of elephant!,,BrownGreyBlack,Leather,27 mph,55 - 70 years,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",,,,,"Human, Tiger",Mammal,2m - 3m (7ft - 10ft),Long trunk and large feet,,,,,,,,,"Grass, Fruit, Roots",,,,,,Grass,,,,
Bouvier Des Flandres,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownGreyFawnBlackBrindle,Hair,,10 to 12 years,110 lbs,,,,,,,,,"Fearless, strong-willed, and friendly",,,,,,,,,,,,,,,,,,
Bowhead Whale,['Least Concern'],Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,Balaena,Balaena mysticetus,Zooplankton,,SolitaryPod,"8,000 to 12,000",Climate change and humans,Large triangular-shaped skull,"Greenland Right Whale, Arctic Whale, Polar Whale, Steeple-Top, Russian Whale",13 to 14 months,,Herbivore,,,Bowhead Whale,1.0,Arctic and subarctic waters,,,,Tough,6.2 mph,"Unknown, but may be 200 years or more",75 to 100 ton,50 to 60 feet long,,,,Killer Whales and humans,,,,,,,,,,,,,,,,,,,,,,
Boxador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteBrindle,Hair,,12 to 15 years,110 lbs,,,,,,,,,Devoted and playful,,,,,,,,,,,,,,,,,,
Boykin Spaniel,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,6,,Boykin Spaniel,,,Enthusiastic working dog!,Gun Dog,BrownDark BrownChocolate,Hair,,10 to 15 years,,,,,,,,,,"Eager to please, friendly, loving",Should be trained from an early in obedience,,,,,,,,,,,,,,,,,
Brazilian Terrier,['South-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,10,,Brazilian Terrier,,,Small body and tri-coloured coat!,Terrier,BrownBlackWhiteTan,Hair,,,,,,,,,,,,"Intelligent, playful and energetic",Should be trained from an early age due to their hyperactive nature,,,,,,,,,,,,,,,,,
Brittany,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BlackWhiteTanOrange,Hair,,12 – 15 years,40 lbs,,,,,,,,,"Upbeat, friendly, and sensitive",,,,,,,,,,,,,,,,,,
Brookesia Micra,['Africa'],Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia,Brookesia micra,insects,hatchling,Solitary,"70,000 to 95,000",Habitat destruction,Its tiny size.,"Nosy Hara leaf chameleon, leaf chameleon, stump-tailed chameleon",Three months,dry forest,Carnivore,,,,1.0,Madagascar,,solitary,BrownOrange,Scales,,"10 years in captivity, unknown in the wild",Only 0.006 to 0.0074 ounces,1.1 inches,,,1-2 hatchlings,"Birds, frogs, small mammals, larger chameleons",reptile,,,,,,,,,,,,,,,,,,,,,
Brown Bear,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,,,,,,,,,Forest and mountainous regions,Omnivore,3,Solitary,,,,A dominant predator in it's environment!,,BrownBlackTan,Fur,35 mph,20 - 30 years,136kg - 390kg (300lbs - 860lbs),,,,,"Human, Wolf, Cougar",Mammal,1.5m - 2.8m (5ft - 9.2ft),Powerful forearms and hibernate in the winter,,,,,,,,,"Fish, Fruit, Insects",,,,,,Fish,,,,
Brown Hyena,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,Hyaena brunnea,,Cub,Clans,"4,000 to 10,000",Humans,Scraggly coats,Standwolf,Three months,"Desert, semi-desert, grasslands",Omnivore,,,Brown hyena,,Southern Africa,,,Brown,Hair,50 mph,12 to 15 years,83 to 96 pounds,51 to 63 inches,30 months,12 months,One to five,"Humans, lions, spotted hyenas",Mammal,28 to 31 inches,,,,,,,,,,,,,,,,,,,,
Brown Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,,,,,,,,,,Carnivore,Five to as many as 38,,"Brown snake, dugite, gwardar, common brown snake",,,,,Brown,,,Up to 15 years in captivity,,1.64 to 6.5 feet,,,,,,,"Shades of brown, black, yellow, orange with mottling or bands",,,,,,,,,,,,,,,"Reptiles, including conspecifics, reptile eggs, amphibians, rats, mice, birds",,,,
Brown Water Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia taxispilota,fish,,,,,,"water rattle, southern water snake, pied water snake, greater water snake, water-pilot, aspic, and false moccasin",,,Omnivore,,,"Brown water snake, brown watersnake",,,,,Brown,Scales,,Up to 9 years in captivity,,3.5 to 6 feet,,,"Up to 61, but typically 20-30",,reptile,,,,,,,,,,,,,,,,,,,,,
Brown-banded Cockroach,"['Africa', 'Europe', 'North-America']",Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Supella,Supella longipalpa,Decaying plant and animal matter,,Colony,,Extermination by humans,Amber brown with dark brown bands,"Roach, furniture roach",70 days,,Omnivore,,,Roach,1.0,"North America, Europe, Africa",,Cockroach,Brown,Exoskeleton,3 mph,6-8 months,0.105 g,0.4-0.55 in,80 days,,18 eggs per egg case,,Insect,0.25 in,,,,,,,,,,,,,,,,,,,,
Budgerigar,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,Melopsittacus undulatus,,,,,,,,,Open woodland and grassland near water,Omnivore,,Flock,,,,Natively found in Australia!,,GreyYellowBlueBlackWhiteGreen,Feathers,,3 - 6 years,30g - 40g (1oz - 1.4oz),,,,,"Human, Snakes, Large Birds",Bird,15cm - 20cm (5.9in - 7.8in),Brightly coloured feathers and warble communication calls,,,25cm - 35cm (10in - 14in),18 to 20 days,,6.0,,,"Seeds, Fruit, Insects, Berries",,,,Tree cavities,3 to 4 months,Seeds,,1.0,,
Buffalo,['Africa'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,Syncerus caffer,,,,,,,,,Woodland and grass pastures,Herbivore,1,Herd,,,,Has no real natural predators!,,BrownGreyBlack,Hair,22 mph,15 - 22 years,"600kg - 907kg (1,323lbs - 2,000lbs)",1.7m - 1.8m (67in - 71in),,,,"Human, Lion, Crocodile",Mammal,,"Shoulder hump and large, curved horns",,,,,,,,,"Grass, Shrubs, Leaves",,,,,,Grass,,,,
Bull Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus Leucas,,,,,,,,,Shallow and tropical waters,Carnivore,10,Solitary,,,,Unpredictable and aggressive temperament!,,GreyBlue,Scales,25 mph,16 - 25 years,90kg - 230kg (200lbs - 500lbs),2.1m - 3.5m (7ft - 11.5ft),,,,"Human, Tiger sharks",Fish,,"Flat, rounded snout and two dorsal fins",,,,,,,,,"Fish, Sharks, Stingray",,,,,,Fish,,,,
Bullmastiff,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,8,,BullMastiff,,,"Courageous, loyal and calm!",Mastiff,BrownFawnBlackTanCream,Hair,,,,,,,,,,,,"Devoted, alert and fearless",Should be trained from an early age due to their independent nature,,,,,,,,,,,,,,,,,
Bullsnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer sayi,"Small mammals, birds, bird’s eggs, frogs, lizards",,,,,,,,,Omnivore,,,Bullsnake,,,,,BrownYellowRedBlackCreamBeige,Scales,,Lifespan of about 12 years in the wild and up to 30 in captivity,,4 to as long as 8 feet,,,Two to 24,,,,,,,,,,,No,Medium,,,,,,,,,,,
Bush Baby,['Africa'],Animalia,Chordata,Mammalia,Primates,Galagidae,,,"Fruit, gum, insects and frogs",Infant,Solitary,Unknown,Loss of habitat,Large eyes,"Senegal galago, Lesser bush baby, nagapies",125 days,"Forests, grasslands",Omnivore,,,Bush baby,,Africa,,Solitary,BrownGreyYellow,Fur,,192 months,3.5oz to 3lbs,5in-8in,2 years,6 weeks,2,"Jackals, mongoose, owls, dogs, cats, snakes",Mammal,,,,,,,,,,,,,,,,,,,,,
Bushmaster Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Lachesis,Lachesis acrochorda,"Small mammals, reptiles, birds, amphibians",,,,,,,,,Omnivore,,,bushmaster,,,,,BrownRedTanOrangePink,Scales,,12 to 24 years,,6.6 to as much as 13 feet,,,Five to 19 eggs,,reptile,,,,,,,,,,,,,,,,,,,,,
Cactus Mouse,['North-America'],Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus erimicus,insects,"Pinkie, kitten or pup",Solitary,,predators,extremely long tail,,20-25 days,Rocky deserts and shrublands,Omnivore,,,cactus mouse,1.0,Southwestern U.S. and Northern Mexico,,solitary,BrownGreyWhite,Hair,8 mph,one year,0.6oz - 1.41oz,6.2in - 8.3in,two months,25 days,one to four,"rattlesnake, owl, coyote, bobcat, hawk and fox",rodent,,,,,,,,,,,,,,,,,,,,,
Caecilian,"['Africa', 'Asia', 'Central-America', 'South-America']",Animalia,Chordata,Amphibia,Gymnophiona,Caecilidae,Caecilia Linnaeus,Apoda,"termites, earthworms, insects and other invertebrates",,,,habitat loss,Hooked teeth in some species babies for peeling and eating mother's skin,,,wet and tropical,Carnivore,,,Caecilians,192.0,"South America, South Asia, Southeast Asia, Africa, Central America, Seychelles",,,BrownGreyYellowBlackOrange,Skin,,up to 13 years in a zoo,Up to 2.2 pounds,3 inches to 5 feet,,four to six weeks,two to 60,"snakes, chickens, pigs, tenrecs, fish",amphibian,,,,,,,,,,,,,,,,,,,,,
Caiman,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caimaninae,"Caiman crocodilus, Melanosuchus niger, Caiman yacare, Paleosuchus palpebrosus, Paleosuchus trigonatus, Caiman latirostris","Fish, crustaceans, waterfowl, capybara",Hatchling,Social,Unknown,Habitat loss and hunting,Eyes and nostrils located on top of the head and snout,"Spectacled Caiman, Black Caiman, Yacare Caiman, Cuvier's Dwarf Caiman, Smooth-Fronted Caiman, Broad-Snouted Caiman",,"Rivers, lakes and swampland",Carnivore,,Nocturnal,Caiman,6.0,Central and South America,Can grow to up 6 meters long!,Reptile,BrownGreyBlackDull Olive,Plate-like scales,25 mph,20 - 40 years,6kg - 300kg (13lbs - 660lbs),1.5m - 6m (4.9ft - 19.7ft),4 - 10 years,,,"Jaguars, wild pigs, birds of prey",,,,,,,3 months,,,,,,,1 - 2 years,,,,,,,,
Caiman Lizard,['South-America'],Animalia,Chordata,Reptilia,Squamata,Teiidae,Dracaena,,"snails, insects, freshwater clams, fish, amphibians, rodents",hatchling,Largely solitary,unknown,habitat loss,large crocodile-like scales,"Dracaena lizard, water tegu",,"forest, wetlands, flooded woodlands, savanna",Carnivore,,,"Northern Caiman lizard, Paraguay Caiman lizard",2.0,South America,,,GreyRedTanGreenOrange,Scales,,8-12+ years,3.6kg-5.4kg (8lbs-12lbs),0.6m-1.2m (2ft-4ft),,,5-7,"crocodiles, snakes, jaguars",reptile,,,,,,,,,,,,,,,,,,,,,
Cairn Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Cairn Terrier,,,"Intelligent, lively and strong!",Terrier,,Hair,,14 years,6kg (14lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel,"['Africa', 'Asia', 'Eurasia', 'Oceania']",Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,"Thorny and Salty Plants, Grass, Grain",Calf,Herd,20 million,Drought,"Long, curved neck and large hump","Dromedary Camel, Arabian Camel, One-Humped Camel",390 - 410 days,Arid desert and scrubland,Herbivore,1,Diurnal,Camel,1.0,Throughout the Middle East,Can survive without water for 10 months!,Mammal,BrownBlackTanCream,Hair,40 mph,40 - 50 years,"300kg - 690kg (660lbs - 1,500lbs)",2.2m - 3.5m (7.25ft - 11.5ft),3 - 5 years,4 months,,"Lions, Leopards, Humans",,,,,,,,,,,,,,,,,,,,,,
Camel Cricket,"['Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,,,,Eggs,Solitary/Group,Millions,Habitat loss and predators,Brown stripes on body,Spider cricket,10-12 weeks,Moist environments,Omnivore,,Nocturnal,Camel cricket,1.0,Worldwide,,,BrownGreyYellow,Hard Shell,,1-2 years,20 grams,1.25” inches,,,,,,10 cm,,,,13 to 33 mm,,,,,,,,,12-15,,,Leaves,,,,
Camel Spider,"['Asia', 'Central-America', 'North-America']",Animalia,Arthropoda,Arachnida,Solifugae,Solpugidae,,,"Beetles, Lizards, Small birds, Rodents",Spiderling,Solitary,Unknown,"Habitat loss, poison, starvation",Long pedipalps,"Wind scorpion, Sun spider, Egyptian Giant sulpugid",11 days,"Deserts, scrublands",Carnivore,50-200,Nocturnal,Camel Spider,,"Middle East, Mexico, Southwestern United States","Fast, carnivorous arachnid with a painful bite.",Arachnid,TanDark Brown,Hair,10 mph,Up to 1 year,2 oz,3-6 inches,,Newly hatched,,"Toads, Scorpions, Bats",,,,,,,,,,,,,,,,,,,,,,
Canaan Dog,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Canaan Dog,,,Has a strong survival instinct!,South,,Hair,,15 years,25kg (55lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Lynx,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,snowshoe hare,kittens,Solitary,Unknown,Coyotes,Long hair on cheeks and ears,"Wildcat, gray lynx",74 days,Boreal forest,Carnivore,,, Lynx,1.0,"Canada, US, Newfoundland",,,BrownYellowRed,Hair,50 mph,14 years,9 kgs (20 lbs),51cm(20 inches),21-33 months,12 weeks,1-8,Coyotes,,0.33m-1.1m (1.7ft-3.9ft),,,,,,,,,,,,,,,,,,,,
Canadian Eskimo Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,300,,,,,,Omnivore,,,Canadian Eskimo Dog,,,,,,Hair,,10 to 15 years,,,,,,,,,,"Affectionate, loving, loyal",,,,,,,,,,,,,,,,,,
Canadian Horse,['North-America'],Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus ferus caballus,,Foal,Herd,"2,000",,Compact size,"heval Canadien horse, little iron horse",330-352 days,Farms,Herbivore,,,,1.0,Canada and United States,,,BrownBlack,Hair,,25-30 years,"408kg-544kg (900lbs-1,200lbs",2.4m(8ft),12-15 months,4-7 months,1,,,1.4m-1.6m(56in-64in),,,,,,,,,,,,,,,,,,,,
Cane Corso,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,GreyFawnRedBlack,Hair,,9 to 12 years,110 pounds,,,,,,,,,"Confident, affectionate, and intelligent",,,,,,,,,,,,,,,,,,
Cantil,['Central-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,"A. bilineatus, A. howardgloydi, A. russeolus, A. taylori",,,,,,,,,,Carnivore,1-21,,"Common cantil, Taylor’s cantil, Yucatecan cantil, Gloyd's, or southern cantil",,,,,BrownYellowBlackWhiteOrange,,,Five to 10 years,,25.2 to 41 inches,,,,,,,,,,,,,,Yes,Medium,,,,,,,,,,,
Cape Lion,['Africa'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera leo melanochaitus,"Wildebeests, antelopes, zebras, buffalos, rodents, and more",cub,Pride,,Habitat loss and hunting,The male’s dark-colored mane,,around 100 days,plains,Carnivore,,,Cape Lion,1.0,South Africa,,,BrownYellowWhiteOrange,Hair,48 mph,25 years,up to 600 pounds,6-7 feet,3-4 years,6-7 months,1-6 cubs,,mammal,4 feet,,,,,,,,,,,,,,,,,South Africa,,,
Capybara,['South-America'],Animalia,Chordata,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,"Grasses, Aquatic Plants, Bark",Pup,Herd,Stable,Hunting and habitat loss,"Eyes, ears and nostrils on top of the head!",Water Hog,150 days,Dense vegetation close to freshwater,Herbivore,5,Nocturnal/Crepuscular,Capybara,2.0,Central and South America,Excellent at both diving and swimming,Mammal,BrownGreyYellowRed,Fur,22 mph,8 - 10 years,30kg - 70kg (66lbs - 154lbs),100cm - 130cm (39in - 51in),17 - 19 months,16 weeks,,"Jaguar, Caiman, Harpy Eagle",,,,,,,,,,,,,,,,,,,,,,
