name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Japanese Chin,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Japanese Chin,Unkown,Unknown,"Alert, intelligent and independent!",Herd,Unknown,Hair,Unknown,14 years,4kg (8lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela mariae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Trochosphaeridae,Filinia,Filinia hofmanni,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Mamba,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,"Dendroaspis angusticeps, Dendroaspis jamesoni, Dendroaspis polylepis, Dendroaspis viridis","bush babies, hyrax, birds, bats, rodents, and eggs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,6 to 25 eggs,Unknown,Mamba,Unkown,Unknown,Unknown,Unknown,BrownGreyGreen,Unknown,Unknown,"11 years in the wild, 18 in captivity",Unknown,4.6-14ft,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,lighter bellies,
Pheasant,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus Colchicus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grasslands, fields and wetlands",Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Females lay between 8 and 12 eggs per clutch!,Unknown,BrownYellowRedBlackTanGreenOrange,Feathers,18 mph,7 - 10 years,0.9kg - 1.5kg (1.9lbs - 3.3lbs),53cm - 84cm (21in - 33in),Unknown,Unknown,Unknown,"Fox, Dog, Human",Bird,Unknown,Brightly coloured feathers and long tail of the male,Unknown,Unknown,71cm - 86cm (28in - 34in),Unknown,Unknown,10.0,Unknown,Unknown,"Insects, Berries, Seeds",Unknown,Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela fungicola,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Lion’s Mane Jellyfish,['Ocean'],Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Cyaneidae,Cyanea,Cyanea capillata,"Fish, zooplankton, shrimp, other jellyfish",Unknown,Solitary/School,"Possibly millions its IUCN conservation status is unevaluated, but not in danger of extinction",Pollution,Its size,"Giant jellyfish, hair jellyfish, hair jellyfish, mane jellyfish, Arctic red jellyfish, sea nettle, sea blubber, winter jellyfish",One day,Cooler ocean waters,Carnivore,Unknown,Unknown,Lion’s Mane Jellyfish,1.0,Unknown,Unknown,Unknown,YellowRedWhiteOrangePurple,Unknown,Unknown,One year,200 pounds,As much as 120 feet,Unknown,Unknown,Unknown,"Seabirds, sea turtles, anemones, ocean sunfish, larger jellies but only when the jellyfish is a juvenile.",Cnidarian,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.1,Unknown,
Puffin,"['Eurasia', 'Europe', 'North-America', 'Ocean']",Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,Fratercula arctica,"Sandeel, Herring, Sprat",Chick,Colony,Decreasing,Hunting and Pollution,"Brightly coloured, triangular bill","Atlantic Puffin, Tufted Puffin, Horned Puffin, Rhinoceros Auklet",Unknown,Sea and coastal regions,Carnivore,Unknown,Diurnal,Puffin,4.0,Northern Hemisphere,Can remain in the water for up to 2 minutes!,Bird,GreyBlackWhite,Feathers,55 mph,15 - 30 years,368.5g - 481.9g (13oz - 17oz),Unknown,4 - 5 years,Unknown,Unknown,"Gulls, Skuas, Foxes",Unknown,28cm - 32cm (11in - 12.6in),Unknown,Unknown,Unknown,47cm - 63cm (18.5in - 24.8in),45 days,2 months,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha elusa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Cotton-top Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Oedipus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lowland tropical forest,Omnivore,2,Troop,Unknown,Unkown,Unknown,Found in tropical forest edges!,Unknown,BrownBlackWhiteTan,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),Unknown,Unknown,Unknown,"Snakes, birds of prey, jaguars",Mammal,Unknown,"Small body size and long, thin tail",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Insects, Rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,Unknown,
Pied Tamarin,['South-America'],Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus bicolor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lowland tropical forest,Omnivore,2,Troop,Unknown,Unkown,Unknown,Only found in one area of Brazil!,Unknown,BrownRedBlackWhiteTan,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),Unknown,Unknown,Unknown,"Hawks, Snakes, Wild Cats",Mammal,Unknown,"Small body size and long, thin tail",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Insects, Rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,Unknown,
Moon Jellyfish,['Ocean'],Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,"Plankton, small fish, crustaceans, larvae, eggs","Planula, polyp, ephyra",SmackBloom,Millions,"Humans, sea turtles, sharks, birds","Their moon-shaped, gelatinous, glowing body","Saucer jelly, moon jelly, common jelly",Varies,Temperate ocean,Carnivore,Unknown,SmackBloom,Moon Jelly,25.0,"Pacific, Indian, and Atlantic Oceans, near the beach",Unknown,Unknown,BluePink,Unknown,5 mph,adults: 12 to 16 months in aquarium tank captivity; polyps: 25 years,0.005 - 0.07 pounds,10 - 18 inches,Varies,Unknown,Can be in the 1000s,"Sea turtles, sharks, humans, fish, birds",Plankton,6 - 15 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Gastropodidae,Ascomorpha,Ascomorpha saltans,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Maltese Shih Tzu,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mal-shi,Unknown,Unknown,Omnivore,Unknown,Pack,Unknown,Unkown,Unknown,Unknown,Unknown,BrownBlackWhiteTan,Hair,Unknown,12-14 years,6-15 pounds,Unknown,Unknown,Unknown,6-8 puppies,Unknown,Unknown,Unknown,Unknown,"Adaptable, intelligent, active.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha minima,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Rat Snakes,"['Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,various,various,"Rats, mice, birds, bird eggs, lizards",Hatchlings,Solitary,Unknown,"Vehicles on roads, human encroachment",Unknown,"Corn snake, rat snake, bush snake,",2-3 months,Dense rainforest jungles to arid deserts.,Carnivore,Unknown,Diurnalor Nocturnal Depending on Region and Season,Unknown,50.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Anywhere from 3-20 eggs,"Birds of prey, other snakes, weasels, coyotes, badgers.",Unknown,Unknown,Unknown,"Generally mellow, but some species are more aggressive.",Unknown,Unknown,Unknown,Unknown,12.0,Unknown,Unknown,Rats and mice,Unknown,Unknown,Unknown,"Hollow logs, leaf litter",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella minuta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Welsh Terrier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BlackTan,Hair,Unknown,12-15 years,22 lbs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, curious, and hard-working",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Great White Shark,['Ocean'],Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,Carcharodon carcharias,"Seals, Sea Lions, Dolphins",Pup,Solitary,Unknown,Hunting and habitat degredation,Unknown,"White Shark, White Pointer Shark",Unknown,"Temperate, coastal waters and open ocean",Carnivore,Unknown,Diurnal,Great White Shark,1.0,Worldwide,Can grow to more than 8 meters long!,Fish,GreyBlackWhite,Tough,15 mph,30 - 40 years,"1,110kg - 2,240kg (2,450lbs - 4,938lbs)",5.5m - 8m (18ft - 26ft),17 years,Unknown,Unknown,Unknown,Unknown,Unknown,Large pointed snout and powerful tail fin,Unknown,Unknown,Unknown,12 - 18 months,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,From birth,9,Unknown,Unknown,Unknown,Unknown,Unknown,5 - 7,Unknown,
Kookaburra,['Oceania'],Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,Unknown,"insects, reptiles, crustaceans, small birds, rodents, frogs",Unknown,Unknown,unknown,habitat loss,laugh-like sound,"laughing kookaburra, bushman's alarm clock",Unknown,"woodlands, wetlands",Carnivore,Unknown,Unknown,kookaburra,4.0,"Australia, New Zealand, Tasmania, New Guinea",Unknown,Unknown,BrownGreyBlueBlackWhiteCream,Feathers,20 mph,Unknown,13oz-16oz (0.8lb-1lb),38cm-42cm (15in-17in),Unknown,Unknown,Unknown,"birds of prey, large reptiles, quolls, foxes, pet cats, humans",bird,39cm-42cm (15.4in-16.5in),Unknown,Unknown,Unknown,64cm-66cm (25in-26in),25-29 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,trees,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Blackpoll Warbler,"['Europe', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophage,Setophaga striata,"Flies, lice, beetles, fruit",Unknown,Unknown,"59,000,000",habitat loss,Black feathers on its head (males),New World warbler,Unknown,Evergreen forests and thickets,Omnivore,Unknown,Unknown,Blackpoll warbler,Unkown,"North America, South America, western Europe",Unknown,Unknown,BrownBlackWhiteGreen,Unknown,37 mph,3-6 years, 0.4-0.5 ounces,Up to 5.5inches,Unknown,Unknown,3-5 eggs,hawks and snakes,bird,3-4 inches,Unknown,Unknown,Unknown,8-9 inches,12 days,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,in trees- up to 30 feet above the ground,11-12 days,Unknown,Unknown,1.0,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Rotaria,Rotaria haptica,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
