name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos
Garden Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,,,,,Colony,unknown,predators,snakelike bodies partially protruding from the sand,,,marine saltwater,Carnivore,,,garden eel,35.0,,,,BrownGreyBlackWhiteGreenOrange,Smooth,,35-40 years,,33cm-121cm (13in-47.6in),,,,"Pacific snake eel, triggerfish",fish,,,,,,,,"zooplankton, fish eggs, crustaceans",Brackish,,,,,,,,,1,0,0
Ghost Catfish,['Asia'],Animalia,Chordata,Actinopterygii,Silurormes,Siluridae,Kryptopterus,Kryptopterus vitreolus,"Larvae, worms",,School,Unknown,,Translucent body,"Glass catfish, X-ray fish",,,Carnivore,,,Ghost Catfish,,,,,,Scales,,,Less than an ounce,,,,,"Larger fish, humans",Siluriformes,,,,,,,,,,,,,,,6.0 - 8.0,,,1,0,0
Grass Carp,"['Asia', 'Eurasia']",Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,"Aquatic plants, invertebrates, insects, and organic matter",,Solitary,Unknown,Overfishing,The silvery scales,White Amur,2-3 days,"Rivers, ponds, and lakes",Omnivore,,,Grass Carp,1.0,,,,YellowWhiteSilverOlive,Scales,,Up to 20 years,Up to 99 pounds,Up to 79 inches,,,,"Birds, snakes, fish, and humans",Ray-finned fish,,,,,,,,,Fresh,,,,,,7-9 pH,,,1,0,0
Haddock,['Ocean'],Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Melanogrammus, Melanogrammus aeglefinus,"Worms, sea stars, urchins, sand dollars, mollusks, crustaceans, fish, and eggs",,School,,Overfishing,The black “thumbprint” on the sides of the body,,1 to 3 weeks,,Carnivore,,,Haddock,1.0,North Atlantic Ocean,,,RedBlackPurple,Scales,,10 years or more,2-40 pounds,30 cm-91 cm (1 ft-3 ft),,,,"Skates, dogfish, cods, halibuts, and seals",Ray-in fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Hardhead Catfish,['Ocean'],Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis felis,"Algae, sea grasses, sea cucumbers, shrimp, crabs, gastropods, and fish",,School,,Habitat changes,The six long whiskers near the mouth,"Saltwater catfish, sea catfish, and tourist trout",30 days,Oceans and estuaries,Omnivore,,,Hardhead Catfish,-2.0,,,school,BrownBlueWhiteSilver,Skin,,5 – 8 years,1-12 pounds,12-27 inches,,,,,ray-finned fish,,,,,,,,,,,,,,,8,,,1,0,0
Keta Salmon,['Ocean'],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,"Smaller fish, zooplankton, insects, comb jellies, squid, mollusks, tunicates",,School,in the millions,"Climate change, habitat loss or degradation",The blood red slash down the side of a breeding male,"Chum salmon, dog salmon, silverbrite salmon, white salmon, autumn salmon, damaha fish",3-4 months,"Oceans, estuaries, coastal streams",Carnivore,,,"Chum salmon, keta salmon",1.0,,,,BlueGreenSilverOlive,Scales,7 mph,3-5 years,,,,,,"Bears, humans, other fish, shorebirds, killer whales, sea lions, seals, stonefly larvae",fish,,,,,,,,,Brackish,,,,,,,,,1,0,0
Lake Sturgeon,[],Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser fulvescens,"Worms, insect larvae, leeches, mollusks, amphipods",,Pod,"About 30,000, largest population in Lake Michigan. The fish’s conservation status is least concern.","Pollution, over-harvesting, climate change",Its prehistoric looks,"Rock sturgeon, esturgeon jaune, nameo",six days, Freshwater rivers and lakes with pebbly bottoms,Carnivore,,,Lake sturgeon,1.0,,,,GreyYellowWhiteGreenOlive,Boney Plates,,82-152 years,,,,,,"Humans, silver lampreys and sea lampreys",Fish,,,,,,,,,Fresh,,,,,,6.0-8.0,,,1,0,0
Lawnmower Blenny,"['Africa', 'Oceania']",Animalia,Chordata,Actinopterygii,Blenniiformes,Blenniidae,Salarias,Salarias fasciatus,Algae,,Mainly solitary,Unknown,Bigger fish,"Color-changing body, smooth lips, tentacle-like extremities, fat belly.","Jeweled Rockskipper, algae blenny, banded blenny, banded-jeweled blenny, barred blenny, lineated blenny, lined blenny, painted blenny, sailfin blenny.",Unknown,Rocky substrate,Herbivore,,,Jeweled Blenny,,,,,BrownRedBlueWhiteTanOrange,Scales,,2-5 years,Unknown,14 cm,,,,Any larger fish,Fish,,,,,,,,,,,,Algae,,,8 – 8.4,,,1,0,0
Lizardfish,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus Scopoli,Synodus lucioceps,"Fish, shrimp, and squid",,Solitary,Unknown,Overfishing,The lizard-like head and sharp teeth,Grinners,A few days,Oceans and seas,Carnivore,,,Lizardfish,57.0,,,,BrownBlackWhiteOlive,Scales,,7-9 years,Up to 15 pounds,Up to 2 or 3 feet,,,,Larger fish,Ray-finned fish,,,,,,,,,Salt,,,,,,Varies,,,1,0,0
Loach,"['Asia', 'Europe', 'North-America']",Animalia,Chordata,Actinopterygii,Cypriniformes,,,,"Worms, other invertebrates",,School,,"overfishing, habitat destruction",Whiskers,"Clown loach, kuhli loach, hillstream loach",24 hours,Rivers,Omnivore,,,Loach,1249.0,,,,,Scales,,3-14 years,0.3lbs-6.6lbs (0.1-3kg),2in-20in (5cm-64cm),,,,,Cobitidae,,,,,,,,,,,,,,,5.0 – 8,,,1,0,0
Longnose Gar,['North-America'],Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus osseus,,,,Not known,Birds that prey on fish,Long body with a beak-like mouth,The needle nose gar or the Billy gar,7-9 days,"Brackish waters, fresh waters, saline waters (Not salty waters). Found in Texas, Mexico, Florida, Michigan, and Wisconsin",Carnivore,,,Longnose gar,,,,,BrownGreyBlackOlive,Scales,,Up to 20 years,28 lbs,Up to 6.5 feet,,,,Birds that prey on fish,Fish,,,,,,,,"Menhaden, sunfish, and perch",Brackish,,,,,,4.8 to 6.4,,,1,0,0
Mahi Mahi (Dolphin Fish),"['Central-America', 'North-America', 'Ocean']",Animalia,Chordata,Actinopterygii,Carangiformes,Coyphaenidae,Coryphaena,Coryphaena hippurus,"Crustacean, squid, fish",,School,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,,,,,,,,BlueGoldGreenBeige,Scales,,4 - 5 years,15 - 29 pounds,39.3 inches,3 - 5 months,Unknown,,"Humans, larger fish, marine mammals",Fish,,Blunt face,,,,,,,Salt,,,,,,,,,1,0,0
Mekong Giant Catfish,['Asia'],Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon gigas,"Plants, algae, and zooplankton",,Mainly solitary,A few hundred,Damming,Low-set eyes,Pa beuk (in Laos),,Mekong River,Herbivore,,,Mekong Giant Catfish,1.0,,,,GreyWhite,Skin,,60 years,"Up to 646 lbs, possibly more",Up to 10 ft,,,,Humans, Ray-finned fish,,,,,,,,,Fresh,,,,,,Unknown,,,1,0,0
Mojarra,"['Central-America', 'Ocean', 'South-America']",Animalia,Chordata,Actinopterygii,Perciformes,Gerreidae,,,"Worms, bivalves, shrimp, and more, in addition to plant matter",,,Unknown,Overfishing,Shimmering silvery scales,"Silver perch, sand perch, silver biddy, and more",Unknown,,Omnivore,,School,Mojarra,,,,,,Scales,,,Up to 2 pounds,Up to 14 inches,,,,Sharks and other large fish,Ray-finned fish,,,,,,,,,,,,,,,Varies by species,,,1,0,0
Mola mola (Ocean Sunfish),['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,"Crustaceans, jellyfish, squid, sponges, and fish",,Solitary,Unknown,Overfishing,The oval-shaped body,Common mola,Unknown,,Carnivore,,,Ocean sunfish,1.0,Worldwide,,,BrownGreySilver,Skin,,Unknown,"Up to 2,200kg (5,000lbs)", Up to 3.1m (10ft),,,,"Sharks, orcas, sea lions, and other fish",Ray-finned fish,,,,,,,,,Salt,,,,,,,,,1,0,0
Moray Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,,Muraenidae,,Elver,Solitary,Unknown,,Two sets of jaws -- one at the front of their mouths and one (pharyngeal) in their throats,,,Coastal and deep waters,Carnivore,,,Moray Eel,,,,Fish,BrownGreyYellowBlueBlackWhiteGreenOrange,Scales,,10-30 years,,4.5 inches to 13 feet,,,,"Sharks, Humans, Barracuda",,,A long dorsal fin that can run the length of their back,,,,,,"Fish, Squid, Crustaceans",Salt,,,Fish,,,5-7,,,1,0,0
Oscar Fish,"['Europe', 'North-America', 'South-America']",Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus,"Catfish, insects, insect larvae, freshwater clams, snails and shrimp",,Social,,pollution,"stocky, large body","Velvet cichlid, marble cichlid, tiger oscar, red oscar",2-3 days,Shallow rivers and river basins with muddy or sandy bottoms,Omnivore,,,Oscar fish,,,,,BrownYellowRedBlueGreenOrange,Scales,60 mph,10 or more years in captivity,3.5 pounds,13.78 to 15 inches,,,,"Piranhas, humans, waterbirds, reptiles",fish,,,,,,,,,Fresh,,,,,,6-8,,,1,0,0
Oyster Toadfish,['Ocean'],Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus tau,"Mollusks, crustaceans, squids, worms, and fish",,Solitary,,predators,"The long mouth and big, bulging eyes","Dowdies, oyster crackers, and oyster catchers",a month,,Omnivore,,,Oyster Toadfish,-1.0,,,,BrownYellowBlack,Skin,,up to 24 years,three to five pounds,eight to 17 inches,,,,Sharks and large fish,Ray-finned fish,,,,,,,,,Salt,,,,,,6.6-7.2 pH,,,1,0,0
